"Moment","Concepts","Agency","Social"
"Ate a pleasant meal with my family for dinner while enjoying our daily show of Jeopardy and the nightly news.","food|family|entertainment","yes","yes"
"I bought a new decant of cologne that I like","shopping","yes","no"
"My students were very cute today.","education","no","yes"
"A small romance with my girlfriend makes me feel happy","romance","yes","yes"
"Having our first family BBQ in the back yard with all 3 of my kids.","family|food","yes","yes"
"I recently went home and visited my family and my dog for a couple days.","animals|family|vacation","yes","yes"
"I AM GOING TO HOTEL WITH MY FRIENDS IN THE PAST 3 MONTHS THAT DAY VERY ENJOYABLE THEN VARIETY OF FOODS ORDER IN MENU.","food","yes","yes"
"MY SISTER BIRTHDAY PARTY","party|family","yes","yes"
"I had a salary increase since I perform well on my job last year.","career","yes","no"
"My sister got me a second-hand drum set that was posted for free on a community listserv page.","family","no","yes"
"Watching my partner complete a workout and seeing him be proud of himself (he's been injured recently).","exercise","no","yes"
"my 2 year old gave me a big hug and said daddy.","family","no","yes"
"The weather is nice enough today that we are able to cook steaks on the grill outside.","weather|food","no","yes"
"INDIA WINNING THE CRICKET MATCH IN SEMI FINALS","exercise","yes","yes"
"I got plans together with some good friends to go to Derby day this weekend.","vacation","yes","yes"
"Ate some great shrimp fried rice with my mom for lunch","food","yes","yes"
"When I finally earned $10 on Mturk.","career","yes","no"
"I went on a mile long jog around town after work.","exercise","yes","no"
"I went for PTM and teacher praised the efforts of my child.","education","yes","yes"
"An event that made me happy in the last 3 months was visiting my family in New York after not seeing them in a year.","family|vacation","yes","yes"
"My grocery store has a ten day sale on yogurt and as it's the only food I can eat that is fun it makes me insanely happy to be able to buy many.","food|shopping","no","no"
"Watching a video about a game expansion I am looking forward to.","entertainment","yes","no"
"After breakfast I deep cleaned my kitchen.","food","yes","no"
"my boyfriend brought me flowers few hours ago","romance","no","yes"
"My 13 month old daughter ran up to me last night and gave me a huge hug and kiss just out of the blue.","family","no","yes"
"i had ordered a pair of sneakers from amazon and it just arrived a few hours back, and it looks better than i had expected.","shopping","yes","no"
"A hot kiss with my girl friend last night made my day","romance","yes","yes"
"I made dinner for my spouse and I and we really enjoyed it.","food|family|romance","yes","yes"
"I had my favorite breakfast cereal mixed with peanut butter.","food","yes","no"
"I completed my book after 8 years of work and fulfilled my work obligations.","career","yes","no"
"Finish what i intended to do that was hitting my quota and beyond.","education","yes","no"
"Evening went outside with family member's to watch a movie.","entertainment","yes","yes"
"I found a $10 Starbucks gift card I had forgotten about in the bottom of my purse.","shopping","no","no"
"I got a long awaited promotion in the last month from Assistant Manager to Manager.","career","yes","no"
"i celebrate my grand mothers birthday","family","yes","yes"
"I had a nice steak dinner with my wife for her birthday.","food|family","yes","yes"
"My husband made delicious tacos for dinner tonight.","food","yes","yes"
"When I got home my wife had already made dinner","food|family","no","yes"
"I ate dinner with my friends.","food","yes","yes"
"I finished my work target and that moment make me feel happy.","career","yes","no"
"My son completed a big school project.","education","no","yes"
"Talked to my best friend on the phone","conversation|technology","yes","yes"
"My son slept past 6am for the first time in months.","family","no","yes"
"There was hardly any traffic on my way to work this morning.","career","yes","no"
"i bought Macbook pro past 15 days before can't explain how i felt that time i love apple products i wait nearly one year to buy macbook now only i bought it i'm so happy.","shopping|technology","yes","no"
"I went to the beach for swimming and drinking.","vacation|exercise|food","yes","no"
"I called in sick to work last Friday, but I was not truly sick, I just needed a well deserved break.","career","yes","no"
"my presentation at work went well","career","yes","no"
"The time I spent with a specific person I met at Aruba","vacation|romance","yes","yes"
"I had a very pleasant lunch with my mother, and the restaurant served curry chicken salad which was wonderful.","food|family","yes","yes"
"I had a very nice Birthday with several dear loved ones.","family|party","yes","yes"
"Last week when I went shopping found the last marked down chicken, at a very good clearance price, which meant we could have grilled chicken!","shopping|food","yes","no"
"I found a gorgeous dress at a deep discount.","shopping","yes","no"
"My friend invited me to a party and I had a fantastic time with the people there","party","no","yes"
"My relatives come to home yesterday and it is very exciting.","family","no","yes"
"I AM AT WORK","career","yes","no"
"I got breakfast in bed.","food","yes","no"
"i go to temple and i say the poor man,help is very hungary and i help for him i am very happy","religion","yes","yes"
"Came back to office today after 3 days of official travel","career","yes","no"
"My girlfriend came over and we spent a couple of hours watching TV and eating popcorn","entertainment|romance","yes","yes"
"My result came and I scored distinction","education","yes","no"
"My sisters came to visit our home and stay with us for few days during the vacation time.","vacation","yes","yes"
